Name: 1-Methyltryptophan
InChIKey: ZADWXFSZEAPBJS-JTQLQIEISA-N
Precursor Type: [M+H]+
Precursor Mz: 219.11317
Retention Time: 6.23
Formula: C12H14N2O2
Num Peaks: 2360
143.07309 2553
143.17278 149
143.21591 50
143.27643 35
143.29494 23
143.33897 13
143.37805 20
143.39421 12
143.43088 25
143.48482 27
143.53137 50
143.56671 27
143.61902 9
143.74475 27
143.76923 23
143.82045 37
143.8891 26
143.92973 20
143.99072 12
144.07935 2645
144.18379 135
144.25089 86
144.2814 67
144.31963 32
144.36906 25
144.41843 22
144.44904 35
144.48734 23
144.53081 40
144.56255 45
144.61073 20
144.6729 18
144.71992 21
144.75648 15
144.85713 31
144.91428 11
144.94614 10
144.99001 11
145.08379 424
145.14574 76
145.19629 29
145.23917 25
145.29039 20
145.36272 28
145.39012 14
145.43193 14
145.52161 12
145.55212 22
145.58492 11
145.63101 18
145.66077 18
145.78354 9
145.85936 14
145.91225 14
145.94543 11
145.98149 10
146.09477 1417
146.15216 148
146.20659 41
146.23315 29
146.29063 44
146.34781 23
146.44003 25
146.5363 20
146.56044 18
146.61395 24
146.6555 15
146.73691 14
146.76205 17
146.80891 10
146.85855 21
146.8817 13
146.9518 20
146.985 9
147.10185 537
147.20476 35
147.29532 16
147.38638 29
147.44193 19
147.48318 11
147.51187 28
147.56204 7
147.65887 5
147.70653 13
147.82483 13
147.86685 27
148.0679 36
148.13817 6
148.16556 16
148.20963 6
148.25696 6
148.29857 6
148.34068 16
148.45233 7
148.60587 12
148.65591 11
148.72754 13
149.00397 12
149.02867 10
149.08463 12
149.16576 8
149.21385 6
149.28638 11
149.41704 6
149.49942 19
149.55519 7
149.65422 9
149.75339 13
149.78334 8
149.85896 9
149.89113 9
149.94266 13
150.00262 7
150.11723 14
150.16023 10
150.2571 7
150.57341 10
150.63788 6
150.73636 10
150.86148 6
150.90517 6
150.98077 10
151.10803 5
151.222 7
151.31926 6
151.34529 5
151.44395 7
151.49684 7
151.53914 11
151.59895 11
151.75824 7
151.86369 8
151.89107 11
151.96133 71
152.02177 34
152.11157 8
152.17062 7
152.30833 10
152.47139 5
152.62077 8
152.94214 5
152.98874 11
153.16537 7
153.22183 12
153.25754 11
153.37149 7
153.43465 9
153.51292 8
153.59821 8
153.64705 12
153.74835 5
153.85768 6
154.03148 15
154.06964 41
154.21231 15
154.35286 27
154.39435 8
154.42053 9
154.52351 5
154.72185 10
154.79333 12
154.85533 16
154.87878 11
154.9138 7
154.99936 14
155.02052 12
155.07707 29
155.12828 14
155.20047 14
155.24146 7
155.28531 5
155.3623 7
155.4921 9
155.5649 5
155.62451 16
155.71385 6
155.77034 8
155.82095 11
155.88545 8
155.98326 11
156.07974 2479
156.19577 150
156.27907 36
156.35715 55
156.49883 47
156.58611 56
156.65181 16
156.73615 12
156.75215 8
156.80965 8
156.84554 10
156.90546 12
156.93498 8
157.03906 18
157.08888 5804
157.19901 268
157.25647 117
157.325 87
157.39227 87
157.42874 85
157.48399 91
157.51903 116
157.5567 73
157.6227 25
157.66885 26
157.7247 41
157.8138 16
157.83687 16
157.88005 41
157.90524 16
157.97723 50
158.09586 11380
158.20613 616
158.2382 265
158.28664 242
158.34132 152
158.39427 99
158.43776 112
158.50035 73
158.55815 77
158.63245 114
158.66341 85
158.71803 124
158.82549 46
158.88515 30
158.93741 48
159.09952 2420
159.20888 131
159.26691 69
159.29774 64
159.32948 48
159.38777 74
159.46045 53
159.51558 25
159.57198 54
159.60938 48
159.66438 31
159.73944 24
159.8537 37
159.92294 54
160.07561 23642
160.18175 1264
160.23262 524
160.33746 230
160.41945 210
160.47205 127
160.52086 99
160.62065 169
160.64555 150
160.69395 106
160.76848 161
160.82413 104
160.89359 66
160.95734 96
161.07692 3261
161.18776 148
161.30228 69
161.4151 113
161.47856 53
161.54169 38
161.58818 79
161.66751 56
161.73392 37
161.76155 36
161.79753 33
161.83377 27
161.87552 37
161.93654 24
162.00322 31
162.07854 325
162.14343 42
162.23814 40
162.28508 47
162.3315 31
162.3893 19
162.4527 24
162.50531 35
162.58511 21
162.6297 23
162.66592 33
162.72575 23
162.77644 27
162.81973 17
162.85623 18
162.9052 43
162.97174 15
163.04686 16
163.06853 15
163.10628 29
163.15041 20
163.2303 15
163.2805 15
163.32442 10
163.34845 13
163.37689 14
163.42725 22
163.45755 26
163.56418 29
163.59676 16
163.63203 22
163.6595 10
163.69455 20
163.75545 16
163.8102 11
163.85625 21
163.9106 15
163.93797 17
